kwagh.n.0 1 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
va.n.0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
yange.n.0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ku.n.0 1 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
zwa.n.0 1 20 12 0 0 0 0 0 0 0 0 0 0 0 0 0 0
zwa.n.1 1 20 12 6 0 0 0 0 0 0 0 0 0 0 0 0 0
uma.n.0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
yem.n.0 1 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
mough.n.0 1 3 9 16 0 0 0 0 0 0 0 0 0 0 0 0 0
tso.n.0 1 20 12 0 0 0 0 0 0 0 0 0 0 0 0 0 0
tso.n.1 1 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
iv.n.0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ityough.n.0 1 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ityough.n.1 1 20 14 0 0 0 0 0 0 0 0 0 0 0 0 0 0
tema.n.0 1 3 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0
uwegh.n.0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ime.n.0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
tse.n.0 1 8 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0
aikighe.n.0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
yevese.n.0 1 3 9 16 10 0 0 0 0 0 0 0 0 0 0 0 0
kper.n.0 1 17 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
atetan.n.0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
